Window,Start_Timestamp,End_Timestamp,Start_Time_UTC,End_Time_UTC,Duration_sec,label
0,1594226277.18598,1594226277.5770247,2020-07-08 16:37:57.185,2020-07-08 16:37:57.577,0.391,8
1,1594227852.3893664,1594227852.7804112,2020-07-08 17:04:12.389,2020-07-08 17:04:12.780,0.391,8
2,1594226277.3815026,1594226277.772547,2020-07-08 16:37:57.381,2020-07-08 16:37:57.772,0.391,8
3,1594227852.5848892,1594227852.9759336,2020-07-08 17:04:12.584,2020-07-08 17:04:12.975,0.391,8
4,1594226277.5868008,1594226277.9778454,2020-07-08 16:37:57.586,2020-07-08 16:37:57.977,0.391,8
5,1594227852.7901876,1594227853.181232,2020-07-08 17:04:12.790,2020-07-08 17:04:13.181,0.391,8
6,1594226277.7823234,1594226278.1733675,2020-07-08 16:37:57.782,2020-07-08 16:37:58.173,0.391,8
7,1594227852.9857097,1594227853.3767543,2020-07-08 17:04:12.985,2020-07-08 17:04:13.376,0.391,2
8,1594226277.9876215,1594226278.3786662,2020-07-08 16:37:57.987,2020-07-08 16:37:58.378,0.391,8
9,1594227853.181232,1594227853.5722766,2020-07-08 17:04:13.181,2020-07-08 17:04:13.572,0.391,2
10,1594226278.183144,1594226278.5741885,2020-07-08 16:37:58.183,2020-07-08 16:37:58.574,0.391,8
11,1594227853.3865304,1594227853.777575,2020-07-08 17:04:13.386,2020-07-08 17:04:13.777,0.391,2
12,1594226278.3884425,1594226278.779487,2020-07-08 16:37:58.388,2020-07-08 16:37:58.779,0.391,8
13,1594227853.5820527,1594227853.973097,2020-07-08 17:04:13.582,2020-07-08 17:04:13.973,0.391,2
14,1594226278.5839643,1594226278.9750092,2020-07-08 16:37:58.583,2020-07-08 16:37:58.975,0.391,8
15,1594227853.7873511,1594227854.1783955,2020-07-08 17:04:13.787,2020-07-08 17:04:14.178,0.391,2
16,1594226278.789263,1594226279.1803074,2020-07-08 16:37:58.789,2020-07-08 16:37:59.180,0.391,8
