Window,Start_Timestamp,End_Timestamp,Start_Time_UTC,End_Time_UTC,Duration_sec,label
0,1594226277.194414,1594226277.5877438,2020-07-08 16:37:57.194,2020-07-08 16:37:57.587,0.3933,8
1,1594227852.3869936,1594227852.7808762,2020-07-08 17:04:12.386,2020-07-08 17:04:12.780,0.3939,8
2,1594226277.3878548,1594226277.781185,2020-07-08 16:37:57.387,2020-07-08 16:37:57.781,0.3933,8
3,1594227852.5871634,1594227852.981046,2020-07-08 17:04:12.587,2020-07-08 17:04:12.981,0.3939,8
4,1594226277.5877438,1594226277.9810736,2020-07-08 16:37:57.587,2020-07-08 16:37:57.981,0.3933,8
5,1594227852.7873333,1594227853.1812158,2020-07-08 17:04:12.787,2020-07-08 17:04:13.181,0.3939,8
6,1594226277.7876327,1594226278.1809626,2020-07-08 16:37:57.787,2020-07-08 16:37:58.180,0.3933,8
7,1594227852.987503,1594227853.3813856,2020-07-08 17:04:12.987,2020-07-08 17:04:13.381,0.3939,2
8,1594226277.9875216,1594226278.3808515,2020-07-08 16:37:57.987,2020-07-08 16:37:58.380,0.3933,8
9,1594227853.1876729,1594227853.5815554,2020-07-08 17:04:13.187,2020-07-08 17:04:13.581,0.3939,2
10,1594226278.1874106,1594226278.5807405,2020-07-08 16:37:58.187,2020-07-08 16:37:58.580,0.3933,8
11,1594227853.387843,1594227853.7817252,2020-07-08 17:04:13.387,2020-07-08 17:04:13.781,0.3939,2
12,1594226278.3872995,1594226278.7806294,2020-07-08 16:37:58.387,2020-07-08 16:37:58.780,0.3933,8
13,1594227853.5880125,1594227853.981895,2020-07-08 17:04:13.588,2020-07-08 17:04:13.981,0.3939,2
14,1594226278.5871885,1594226278.9805183,2020-07-08 16:37:58.587,2020-07-08 16:37:58.980,0.3933,8
15,1594227853.7881825,1594227854.1820648,2020-07-08 17:04:13.788,2020-07-08 17:04:14.182,0.3939,2
16,1594226278.7870774,1594226279.1804073,2020-07-08 16:37:58.787,2020-07-08 16:37:59.180,0.3933,8
17,1594227853.988352,1594227854.3822346,2020-07-08 17:04:13.988,2020-07-08 17:04:14.382,0.3939,2
18,1594226278.9869664,1594226279.3802962,2020-07-08 16:37:58.986,2020-07-08 16:37:59.380,0.3933,8
19,1594227854.188522,1594227854.5824044,2020-07-08 17:04:14.188,2020-07-08 17:04:14.582,0.3939,2
20,1594226279.1868553,1594226279.5801852,2020-07-08 16:37:59.186,2020-07-08 16:37:59.580,0.3933,8
21,1594227854.3886917,1594227854.7825742,2020-07-08 17:04:14.388,2020-07-08 17:04:14.782,0.3939,2
