Window,Start_Timestamp,End_Timestamp,Start_Time_UTC,End_Time_UTC,Duration_sec,label
0,1594226277.18598,1594226277.585855,2020-07-08 16:37:57.185,2020-07-08 16:37:57.585,0.3999,8
1,1594227852.386011,1594227852.785886,2020-07-08 17:04:12.386,2020-07-08 17:04:12.785,0.3999,8
2,1594226277.38598,1594226277.785855,2020-07-08 16:37:57.385,2020-07-08 16:37:57.785,0.3999,8
3,1594227852.586011,1594227852.985886,2020-07-08 17:04:12.586,2020-07-08 17:04:12.985,0.3999,8
4,1594226277.58598,1594226277.985855,2020-07-08 16:37:57.585,2020-07-08 16:37:57.985,0.3999,8
5,1594227852.786011,1594227853.185886,2020-07-08 17:04:12.786,2020-07-08 17:04:13.185,0.3999,8
6,1594226277.78598,1594226278.185855,2020-07-08 16:37:57.785,2020-07-08 16:37:58.185,0.3999,8
7,1594227852.986011,1594227853.385886,2020-07-08 17:04:12.986,2020-07-08 17:04:13.385,0.3999,2
8,1594226277.98598,1594226278.385855,2020-07-08 16:37:57.985,2020-07-08 16:37:58.385,0.3999,8
9,1594227853.186011,1594227853.585886,2020-07-08 17:04:13.186,2020-07-08 17:04:13.585,0.3999,2
10,1594226278.18598,1594226278.585855,2020-07-08 16:37:58.185,2020-07-08 16:37:58.585,0.3999,8
11,1594227853.386011,1594227853.785886,2020-07-08 17:04:13.386,2020-07-08 17:04:13.785,0.3999,2
12,1594226278.38598,1594226278.785855,2020-07-08 16:37:58.385,2020-07-08 16:37:58.785,0.3999,8
13,1594227853.586011,1594227853.985886,2020-07-08 17:04:13.586,2020-07-08 17:04:13.985,0.3999,2
14,1594226278.58598,1594226278.985855,2020-07-08 16:37:58.585,2020-07-08 16:37:58.985,0.3999,8
15,1594227853.786011,1594227854.185886,2020-07-08 17:04:13.786,2020-07-08 17:04:14.185,0.3999,2
16,1594226278.78598,1594226279.185855,2020-07-08 16:37:58.785,2020-07-08 16:37:59.185,0.3999,8
17,1594227853.986011,1594227854.385886,2020-07-08 17:04:13.986,2020-07-08 17:04:14.385,0.3999,2
18,1594226278.98598,1594226279.385855,2020-07-08 16:37:58.985,2020-07-08 16:37:59.385,0.3999,8
19,1594227854.186011,1594227854.585886,2020-07-08 17:04:14.186,2020-07-08 17:04:14.585,0.3999,2
20,1594226279.18598,1594226279.585855,2020-07-08 16:37:59.185,2020-07-08 16:37:59.585,0.3999,8
21,1594227854.386011,1594227854.785886,2020-07-08 17:04:14.386,2020-07-08 17:04:14.785,0.3999,2
22,1594226279.38598,1594226279.785855,2020-07-08 16:37:59.385,2020-07-08 16:37:59.785,0.3999,8
23,1594227854.586011,1594227854.985886,2020-07-08 17:04:14.586,2020-07-08 17:04:14.985,0.3999,2
24,1594226279.58598,1594226279.985855,2020-07-08 16:37:59.585,2020-07-08 16:37:59.985,0.3999,8
25,1594227854.786011,1594227855.185886,2020-07-08 17:04:14.786,2020-07-08 17:04:15.185,0.3999,2
26,1594226279.78598,1594226280.185855,2020-07-08 16:37:59.785,2020-07-08 16:38:00.185,0.3999,8
27,1594227854.986011,1594227855.385886,2020-07-08 17:04:14.986,2020-07-08 17:04:15.385,0.3999,2
28,1594226279.98598,1594226280.385855,2020-07-08 16:37:59.985,2020-07-08 16:38:00.385,0.3999,8
29,1594227855.186011,1594227855.585886,2020-07-08 17:04:15.186,2020-07-08 17:04:15.585,0.3999,2
30,1594226280.18598,1594226280.585855,2020-07-08 16:38:00.185,2020-07-08 16:38:00.585,0.3999,8
31,1594227855.386011,1594227855.785886,2020-07-08 17:04:15.386,2020-07-08 17:04:15.785,0.3999,2
32,1594226280.38598,1594226280.785855,2020-07-08 16:38:00.385,2020-07-08 16:38:00.785,0.3999,8
33,1594227855.586011,1594227855.985886,2020-07-08 17:04:15.586,2020-07-08 17:04:15.985,0.3999,2
34,1594226280.58598,1594226280.985855,2020-07-08 16:38:00.585,2020-07-08 16:38:00.985,0.3999,8
35,1594227855.786011,1594227856.185886,2020-07-08 17:04:15.786,2020-07-08 17:04:16.185,0.3999,2
36,1594226280.78598,1594226281.185855,2020-07-08 16:38:00.785,2020-07-08 16:38:01.185,0.3999,8
37,1594227855.986011,1594227856.385886,2020-07-08 17:04:15.986,2020-07-08 17:04:16.385,0.3999,2
38,1594226280.98598,1594226281.385855,2020-07-08 16:38:00.985,2020-07-08 16:38:01.385,0.3999,8
39,1594227856.186011,1594227856.585886,2020-07-08 17:04:16.186,2020-07-08 17:04:16.585,0.3999,8
40,1594226281.18598,1594226281.585855,2020-07-08 16:38:01.185,2020-07-08 16:38:01.585,0.3999,8
41,1594227856.386011,1594227856.785886,2020-07-08 17:04:16.386,2020-07-08 17:04:16.785,0.3999,8
42,1594226281.38598,1594226281.785855,2020-07-08 16:38:01.385,2020-07-08 16:38:01.785,0.3999,8
43,1594227856.586011,1594227856.985886,2020-07-08 17:04:16.586,2020-07-08 17:04:16.985,0.3999,8
44,1594226281.58598,1594226281.985855,2020-07-08 16:38:01.585,2020-07-08 16:38:01.985,0.3999,8
45,1594227856.786011,1594227857.185886,2020-07-08 17:04:16.786,2020-07-08 17:04:17.185,0.3999,8
46,1594226281.78598,1594226282.185855,2020-07-08 16:38:01.785,2020-07-08 16:38:02.185,0.3999,8
47,1594227856.986011,1594227857.385886,2020-07-08 17:04:16.986,2020-07-08 17:04:17.385,0.3999,8
48,1594226281.98598,1594226282.385855,2020-07-08 16:38:01.985,2020-07-08 16:38:02.385,0.3999,8
49,1594227857.186011,1594227857.585886,2020-07-08 17:04:17.186,2020-07-08 17:04:17.585,0.3999,8
50,1594226282.18598,1594226282.585855,2020-07-08 16:38:02.185,2020-07-08 16:38:02.585,0.3999,8
51,1594227857.386011,1594227857.785886,2020-07-08 17:04:17.386,2020-07-08 17:04:17.785,0.3999,8
52,1594226282.38598,1594226282.785855,2020-07-08 16:38:02.385,2020-07-08 16:38:02.785,0.3999,8
53,1594227857.586011,1594227857.985886,2020-07-08 17:04:17.586,2020-07-08 17:04:17.985,0.3999,8
54,1594226282.58598,1594226282.985855,2020-07-08 16:38:02.585,2020-07-08 16:38:02.985,0.3999,8
55,1594227857.786011,1594227858.185886,2020-07-08 17:04:17.786,2020-07-08 17:04:18.185,0.3999,8
56,1594226282.78598,1594226283.185855,2020-07-08 16:38:02.785,2020-07-08 16:38:03.185,0.3999,8
57,1594227857.986011,1594227858.385886,2020-07-08 17:04:17.986,2020-07-08 17:04:18.385,0.3999,8
58,1594226282.98598,1594226283.385855,2020-07-08 16:38:02.985,2020-07-08 16:38:03.385,0.3999,8
59,1594227858.186011,1594227858.585886,2020-07-08 17:04:18.186,2020-07-08 17:04:18.585,0.3999,8
60,1594226283.18598,1594226283.585855,2020-07-08 16:38:03.185,2020-07-08 16:38:03.585,0.3999,8
61,1594227858.386011,1594227858.785886,2020-07-08 17:04:18.386,2020-07-08 17:04:18.785,0.3999,8
62,1594226283.38598,1594226283.785855,2020-07-08 16:38:03.385,2020-07-08 16:38:03.785,0.3999,8
63,1594227858.586011,1594227858.985886,2020-07-08 17:04:18.586,2020-07-08 17:04:18.985,0.3999,8
64,1594226283.58598,1594226283.985855,2020-07-08 16:38:03.585,2020-07-08 16:38:03.985,0.3999,8
65,1594227858.786011,1594227859.185886,2020-07-08 17:04:18.786,2020-07-08 17:04:19.185,0.3999,8
