Round,AL_Method,Training_Batch_Size,Uncertainity_Strategy_Batch_Size,Num_Samples,Selected_Indices,Train_Acc,Test_Acc,Train_Loss,Test_Loss
1,Least Confidence,8,8,92,"[243, 74, 769, 904, 870, 7, 109, 541, 249, 821, 581, 632, 628, 766, 790, 230, 788, 841, 521, 138, 196, 492, 128, 132, 450, 21, 808, 35, 100, 384, 251, 270, 560, 192, 518, 371, 452, 84, 549, 601, 687, 848, 42, 0, 728, 264, 308, 504, 195, 157, 447, 134, 369, 688, 87, 280, 711, 246, 497, 775, 331, 764, 286, 324, 18, 915, 562, 442, 453, 854, 417, 559, 57, 247, 10, 408, 495, 155, 817, 420, 231, 292, 842, 738, 745, 772, 866, 245, 267, 56, 19, 789]",98.91,96.1,0.0079,0.0171
2,Least Confidence,8,8,112,"[427, 767, 446, 578, 331, 252, 816, 24, 173, 516, 365, 111, 181, 309, 470, 558, 192, 217, 589, 156]",100.0,98.27,0.0005,0.0138
3,Least Confidence,8,8,132,"[75, 379, 182, 656, 555, 688, 197, 394, 133, 13, 90, 735, 312, 411, 292, 641, 575, 93, 465, 14]",100.0,99.13,0.0002,0.0081
4,Least Confidence,8,8,152,"[428, 158, 187, 459, 214, 614, 305, 371, 532, 657, 269, 763, 353, 550, 591, 42, 362, 541, 387, 326]",97.37,97.4,0.0143,0.0115
5,Least Confidence,8,8,172,"[32, 770, 355, 594, 547, 338, 43, 513, 426, 128, 573, 615, 630, 316, 403, 265, 586, 398, 45, 741]",97.67,99.57,0.0203,0.0031
1,Small Margin,8,8,92,"[243, 74, 769, 904, 870, 7, 109, 541, 249, 821, 581, 632, 628, 766, 790, 230, 788, 841, 521, 138, 196, 492, 128, 132, 450, 21, 808, 35, 100, 384, 251, 270, 560, 192, 518, 371, 452, 84, 549, 601, 687, 848, 42, 0, 728, 264, 308, 504, 195, 157, 447, 134, 369, 688, 87, 280, 711, 246, 497, 775, 331, 764, 286, 324, 18, 915, 562, 442, 453, 854, 417, 559, 57, 247, 10, 408, 495, 155, 817, 420, 231, 292, 842, 738, 745, 772, 866, 245, 267, 56, 19, 789]",98.91,96.1,0.0079,0.0171
2,Small Margin,8,8,112,"[427, 767, 446, 578, 331, 252, 816, 24, 173, 516, 365, 111, 181, 309, 470, 558, 192, 217, 589, 156]",100.0,98.27,0.0005,0.0138
3,Small Margin,8,8,132,"[75, 379, 182, 656, 555, 688, 197, 394, 133, 13, 90, 735, 312, 411, 292, 641, 575, 93, 465, 14]",100.0,99.13,0.0002,0.0081
4,Small Margin,8,8,152,"[428, 158, 187, 459, 214, 614, 305, 371, 532, 657, 269, 763, 353, 550, 591, 42, 362, 541, 387, 326]",97.37,97.4,0.0143,0.0115
5,Small Margin,8,8,172,"[32, 770, 355, 594, 547, 338, 43, 513, 426, 128, 573, 615, 630, 316, 403, 265, 586, 398, 45, 741]",97.67,99.57,0.0203,0.0031
